confidence,max_exposure,cooldown_hours,fee_bps,final_equity,total_return,cagr,sharpe,max_drawdown,num_trades,benchmark_return,benchmark_cagr,excess_return,excess_cagr
0.6,0.6,12,15,8.20300806452213e+26,8.20300806452213e+22,8.504869236483305e+22,2.0764658495313704,-0.0016620749618565522,309,0.8708223066474614,0.8716251103993979,8.20300806452213e+22,8.504869236483305e+22
0.6,0.7,1,5,2.625381061085588e+65,2.6253810610855877e+61,2.892412887904144e+61,3.503555155046682,-0.0006959170206058962,1049,0.8708223066474614,0.8716251103993979,2.6253810610855877e+61,2.892412887904144e+61
0.6,0.7,1,10,1.9763406913085379e+65,1.976340691308538e+61,2.176934086000892e+61,3.500601787726162,-0.0013921463702692982,1048,0.8708223066474614,0.8716251103993979,1.976340691308538e+61,2.176934086000892e+61
0.6,0.7,1,15,1.5621794674485622e+65,1.5621794674485622e+61,1.7204594444953116e+61,3.498671213561716,-0.002088687816152346,1048,0.8708223066474614,0.8716251103993979,1.5621794674485622e+61,1.7204594444953116e+61
0.6,0.7,3,5,2.9831560932781204e+47,2.9831560932781203e+43,3.194869723242948e+43,2.791153385572747,-0.0006986950197074293,626,0.8708223066474614,0.8716251103993979,2.9831560932781203e+43,3.194869723242948e+43
0.6,0.7,3,10,2.5429258281635706e+47,2.5429258281635707e+43,2.723098641529148e+43,2.7897291039017755,-0.0013976263887834905,626,0.8708223066474614,0.8716251103993979,2.5429258281635707e+43,2.723098641529148e+43
0.6,0.7,3,15,2.1675782814695742e+47,2.167578281469574e+43,2.3209028689033404e+43,2.788300563403383,-0.002096793732233926,626,0.8708223066474614,0.8716251103993979,2.167578281469574e+43,2.3209028689033404e+43
0.6,0.7,6,5,2.019512207912802e+38,2.019512207912802e+34,2.131784140743701e+34,2.4437849874277524,-0.0006811064098222186,452,0.8708223066474614,0.8716251103993979,2.019512207912802e+34,2.131784140743701e+34
0.6,0.7,6,10,1.787742741557002e+38,1.787742741557002e+34,1.8869722191026173e+34,2.4425987989566496,-0.0013625706669999627,452,0.8708223066474614,0.8716251103993979,1.787742741557002e+34,1.8869722191026173e+34
0.6,0.7,6,15,1.5825065135858261e+38,1.582506513585826e+34,1.6702047539586938e+34,2.4414088910436402,-0.0020443926742745866,452,0.8708223066474614,0.8716251103993979,1.582506513585826e+34,1.6702047539586938e+34
0.6,0.7,12,5,1.9745855145503987e+30,1.974585514550399e+26,2.0581951320534203e+26,2.0842239923527557,-0.000631171874605041,313,0.8708223066474614,0.8716251103993979,1.974585514550399e+26,2.0581951320534203e+26
0.6,0.7,12,10,1.802378915675444e+30,1.8023789156754442e+26,1.878579395275967e+26,2.0832422575187306,-0.0012627190258389653,313,0.8708223066474614,0.8716251103993979,1.8023789156754442e+26,1.878579395275967e+26
0.6,0.7,12,15,1.6473749486847904e+30,1.6473749486847902e+26,1.7169164616528926e+26,2.081062530590986,-0.0018946416365187568,312,0.8708223066474614,0.8716251103993979,1.6473749486847902e+26,1.7169164616528926e+26
0.6,0.8,1,5,2.6175612128171984e+75,2.6175612128171985e+71,2.9296329687710553e+71,3.6141626518220846,-0.0007992193309930284,1128,0.8708223066474614,0.8716251103993979,2.6175612128171985e+71,2.9296329687710553e+71
0.6,0.8,1,10,1.9870217854097436e+75,1.9870217854097435e+71,2.2234993869187887e+71,3.6110111777900755,-0.0015987655704498005,1126,0.8708223066474614,0.8716251103993979,1.9870217854097435e+71,2.2234993869187887e+71
0.6,0.8,1,15,1.5082206713391724e+75,1.5082206713391723e+71,1.6873969588268367e+71,3.608960794909948,-0.002398638084088467,1126,0.8708223066474614,0.8716251103993979,1.5082206713391723e+71,1.6873969588268367e+71
0.6,0.8,3,5,4.114152971789458e+53,4.114152971789458e+49,4.449004237413576e+49,2.838381715751006,-0.0007986918439900625,643,0.8708223066474614,0.8716251103993979,4.114152971789458e+49,4.449004237413576e+49
